venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,precip_mm,pressure_hPa
Harare Sports Club,2008-11-22,10:00,10:00,male,Zimbabwe,Sri Lanka,1-10,22,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2008-11-22,10:00,10:45,male,Zimbabwe,Sri Lanka,11-20,23,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2008-11-22,10:00,11:30,male,Zimbabwe,Sri Lanka,21-30,20,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2008-11-22,10:00,12:15,male,Zimbabwe,Sri Lanka,31-40,2,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2008-11-22,10:00,10:00,male,Sri Lanka,Zimbabwe,1-10,24,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2008-11-22,10:00,10:45,male,Sri Lanka,Zimbabwe,11-20,44,-17.8136915,31.0504604,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2023-11-10,10:00,10:00,female,Pakistan,Bangladesh,1-10,33,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2023-11-10,10:00,10:45,female,Pakistan,Bangladesh,11-20,32,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2023-11-10,10:00,11:30,female,Pakistan,Bangladesh,21-30,27,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2023-11-10,10:00,12:15,female,Pakistan,Bangladesh,31-40,27,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2023-11-10,10:00,13:00,female,Pakistan,Bangladesh,41-50,47,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2023-11-10,10:00,10:00,female,Bangladesh,Pakistan,1-10,40,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2023-11-10,10:00,10:45,female,Bangladesh,Pakistan,11-20,39,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2023-11-10,10:00,11:30,female,Bangladesh,Pakistan,21-30,32,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2023-11-10,10:00,12:15,female,Bangladesh,Pakistan,31-40,28,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2023-11-10,10:00,13:00,female,Bangladesh,Pakistan,41-50,28,,,NA,NA,NA,NA,NA
Adelaide Oval,2015-03-20,10:00,10:00,male,Pakistan,Australia,1-10,37,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2015-03-20,10:00,10:45,male,Pakistan,Australia,11-20,46,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2015-03-20,10:00,11:30,male,Pakistan,Australia,21-30,51,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2015-03-20,10:00,12:15,male,Pakistan,Australia,31-40,48,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2015-03-20,10:00,13:00,male,Pakistan,Australia,41-50,31,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2015-03-20,10:00,10:00,male,Australia,Pakistan,1-10,56,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2015-03-20,10:00,10:45,male,Australia,Pakistan,11-20,50,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2015-03-20,10:00,11:30,male,Australia,Pakistan,21-30,63,-34.9155596,138.5962772,NA,NA,NA,NA,NA
Adelaide Oval,2015-03-20,10:00,12:15,male,Australia,Pakistan,31-40,47,-34.9155596,138.5962772,NA,NA,NA,NA,NA
