venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,precip_mm,pressure_hPa
"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-03-10,10:00,12:15,male,Australia,India,31-40,84,,,NA,NA,NA,NA,NA
"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-03-10,10:00,13:00,male,Australia,India,41-50,98,,,NA,NA,NA,NA,NA
Chevrolet Park,2013-03-10,10:00,10:00,male,South Africa,Pakistan,1-10,50,,,NA,NA,NA,NA,NA
Chevrolet Park,2013-03-10,10:00,10:45,male,South Africa,Pakistan,11-20,53,,,NA,NA,NA,NA,NA
Chevrolet Park,2013-03-10,10:00,11:30,male,South Africa,Pakistan,21-30,60,,,NA,NA,NA,NA,NA
Chevrolet Park,2013-03-10,10:00,12:15,male,South Africa,Pakistan,31-40,69,,,NA,NA,NA,NA,NA
Chevrolet Park,2013-03-10,10:00,13:00,male,South Africa,Pakistan,41-50,83,,,NA,NA,NA,NA,NA
Chevrolet Park,2013-03-10,10:00,10:00,male,Pakistan,South Africa,1-10,47,,,NA,NA,NA,NA,NA
Chevrolet Park,2013-03-10,10:00,10:45,male,Pakistan,South Africa,11-20,30,,,NA,NA,NA,NA,NA
Chevrolet Park,2013-03-10,10:00,11:30,male,Pakistan,South Africa,21-30,67,,,NA,NA,NA,NA,NA
Chevrolet Park,2013-03-10,10:00,12:15,male,Pakistan,South Africa,31-40,46,,,NA,NA,NA,NA,NA
Maharashtra Cricket Association Stadium,2021-03-28,10:00,10:00,male,India,England,1-10,65,,,NA,NA,NA,NA,NA
Maharashtra Cricket Association Stadium,2021-03-28,10:00,10:45,male,India,England,11-20,63,,,NA,NA,NA,NA,NA
Maharashtra Cricket Association Stadium,2021-03-28,10:00,11:30,male,India,England,21-30,78,,,NA,NA,NA,NA,NA
Maharashtra Cricket Association Stadium,2021-03-28,10:00,12:15,male,India,England,31-40,77,,,NA,NA,NA,NA,NA
Maharashtra Cricket Association Stadium,2021-03-28,10:00,13:00,male,India,England,41-50,46,,,NA,NA,NA,NA,NA
Maharashtra Cricket Association Stadium,2021-03-28,10:00,10:00,male,England,India,1-10,66,,,NA,NA,NA,NA,NA
Maharashtra Cricket Association Stadium,2021-03-28,10:00,10:45,male,England,India,11-20,66,,,NA,NA,NA,NA,NA
Maharashtra Cricket Association Stadium,2021-03-28,10:00,11:30,male,England,India,21-30,64,,,NA,NA,NA,NA,NA
Maharashtra Cricket Association Stadium,2021-03-28,10:00,12:15,male,England,India,31-40,63,,,NA,NA,NA,NA,NA
Maharashtra Cricket Association Stadium,2021-03-28,10:00,13:00,male,England,India,41-50,63,,,NA,NA,NA,NA,NA
Eden Park,2010-03-11,10:00,10:00,male,New Zealand,Australia,1-10,65,-36.8750352,174.7440567,NA,NA,NA,NA,NA
Eden Park,2010-03-11,10:00,10:45,male,New Zealand,Australia,11-20,55,-36.8750352,174.7440567,NA,NA,NA,NA,NA
Eden Park,2010-03-11,10:00,11:30,male,New Zealand,Australia,21-30,33,-36.8750352,174.7440567,NA,NA,NA,NA,NA
Eden Park,2010-03-11,10:00,12:15,male,New Zealand,Australia,31-40,38,-36.8750352,174.7440567,NA,NA,NA,NA,NA
Eden Park,2010-03-11,10:00,13:00,male,New Zealand,Australia,41-50,47,-36.8750352,174.7440567,NA,NA,NA,NA,NA
Eden Park,2010-03-11,10:00,10:00,male,Australia,New Zealand,1-10,76,-36.8750352,174.7440567,NA,NA,NA,NA,NA
Eden Park,2010-03-11,10:00,10:45,male,Australia,New Zealand,11-20,39,-36.8750352,174.7440567,NA,NA,NA,NA,NA
Eden Park,2010-03-11,10:00,11:30,male,Australia,New Zealand,21-30,74,-36.8750352,174.7440567,NA,NA,NA,NA,NA
Eden Park,2010-03-11,10:00,12:15,male,Australia,New Zealand,31-40,13,-36.8750352,174.7440567,NA,NA,NA,NA,NA
"Gaddafi Stadium, Lahore",2003-10-03,10:00,10:00,male,Pakistan,South Africa,1-10,30,31.5133615,74.3334644,NA,NA,NA,NA,NA
"Gaddafi Stadium, Lahore",2003-10-03,10:00,10:45,male,Pakistan,South Africa,11-20,51,31.5133615,74.3334644,NA,NA,NA,NA,NA
"Gaddafi Stadium, Lahore",2003-10-03,10:00,11:30,male,Pakistan,South Africa,21-30,45,31.5133615,74.3334644,NA,NA,NA,NA,NA
"Gaddafi Stadium, Lahore",2003-10-03,10:00,12:15,male,Pakistan,South Africa,31-40,46,31.5133615,74.3334644,NA,NA,NA,NA,NA
"Gaddafi Stadium, Lahore",2003-10-03,10:00,13:00,male,Pakistan,South Africa,41-50,105,31.5133615,74.3334644,NA,NA,NA,NA,NA
"Gaddafi Stadium, Lahore",2003-10-03,10:00,10:00,male,South Africa,Pakistan,1-10,42,31.5133615,74.3334644,NA,NA,NA,NA,NA
"Gaddafi Stadium, Lahore",2003-10-03,10:00,10:45,male,South Africa,Pakistan,11-20,57,31.5133615,74.3334644,NA,NA,NA,NA,NA
"Gaddafi Stadium, Lahore",2003-10-03,10:00,11:30,male,South Africa,Pakistan,21-30,48,31.5133615,74.3334644,NA,NA,NA,NA,NA
"Gaddafi Stadium, Lahore",2003-10-03,10:00,12:15,male,South Africa,Pakistan,31-40,51,31.5133615,74.3334644,NA,NA,NA,NA,NA
"Gaddafi Stadium, Lahore",2003-10-03,10:00,13:00,male,South Africa,Pakistan,41-50,71,31.5133615,74.3334644,NA,NA,NA,NA,NA
"Kensington Oval, Bridgetown",2011-04-28,10:00,10:00,male,West Indies,Pakistan,1-10,44,13.105317,-59.6225631,NA,NA,NA,NA,NA
"Kensington Oval, Bridgetown",2011-04-28,10:00,10:45,male,West Indies,Pakistan,11-20,46,13.105317,-59.6225631,NA,NA,NA,NA,NA
"Kensington Oval, Bridgetown",2011-04-28,10:00,11:30,male,West Indies,Pakistan,21-30,34,13.105317,-59.6225631,NA,NA,NA,NA,NA
"Kensington Oval, Bridgetown",2011-04-28,10:00,12:15,male,West Indies,Pakistan,31-40,37,13.105317,-59.6225631,NA,NA,NA,NA,NA
"Kensington Oval, Bridgetown",2011-04-28,10:00,13:00,male,West Indies,Pakistan,41-50,10,13.105317,-59.6225631,NA,NA,NA,NA,NA
"Kensington Oval, Bridgetown",2011-04-28,10:00,10:00,male,Pakistan,West Indies,1-10,40,13.105317,-59.6225631,NA,NA,NA,NA,NA
"Kensington Oval, Bridgetown",2011-04-28,10:00,10:45,male,Pakistan,West Indies,11-20,40,13.105317,-59.6225631,NA,NA,NA,NA,NA
"Kensington Oval, Bridgetown",2011-04-28,10:00,11:30,male,Pakistan,West Indies,21-30,44,13.105317,-59.6225631,NA,NA,NA,NA,NA
"Kensington Oval, Bridgetown",2011-04-28,10:00,12:15,male,Pakistan,West Indies,31-40,47,13.105317,-59.6225631,NA,NA,NA,NA,NA
"Kensington Oval, Bridgetown",2011-04-28,10:00,13:00,male,Pakistan,West Indies,41-50,6,13.105317,-59.6225631,NA,NA,NA,NA,NA
Eden Park Outer Oval,2020-01-27,10:00,10:00,female,New Zealand,South Africa,1-10,32,,,NA,NA,NA,NA,NA
Eden Park Outer Oval,2020-01-27,10:00,10:45,female,New Zealand,South Africa,11-20,45,,,NA,NA,NA,NA,NA
Eden Park Outer Oval,2020-01-27,10:00,11:30,female,New Zealand,South Africa,21-30,27,,,NA,NA,NA,NA,NA
Eden Park Outer Oval,2020-01-27,10:00,12:15,female,New Zealand,South Africa,31-40,11,,,NA,NA,NA,NA,NA
Eden Park Outer Oval,2020-01-27,10:00,10:00,female,South Africa,New Zealand,1-10,34,,,NA,NA,NA,NA,NA
Eden Park Outer Oval,2020-01-27,10:00,10:45,female,South Africa,New Zealand,11-20,56,,,NA,NA,NA,NA,NA
Eden Park Outer Oval,2020-01-27,10:00,11:30,female,South Africa,New Zealand,21-30,27,,,NA,NA,NA,NA,NA
"Queens Sports Club, Bulawayo",2003-03-04,10:00,10:00,male,Pakistan,Zimbabwe,1-10,50,-20.1450755,28.5879876,NA,NA,NA,NA,NA
"Queens Sports Club, Bulawayo",2003-03-04,10:00,10:45,male,Pakistan,Zimbabwe,11-20,23,-20.1450755,28.5879876,NA,NA,NA,NA,NA
County Ground,2015-07-23,10:00,10:00,female,Australia,England,1-10,38,51.5644464,-1.7709719,NA,NA,NA,NA,NA
County Ground,2015-07-23,10:00,10:45,female,Australia,England,11-20,49,51.5644464,-1.7709719,NA,NA,NA,NA,NA
County Ground,2015-07-23,10:00,11:30,female,Australia,England,21-30,40,51.5644464,-1.7709719,NA,NA,NA,NA,NA
County Ground,2015-07-23,10:00,12:15,female,Australia,England,31-40,66,51.5644464,-1.7709719,NA,NA,NA,NA,NA
County Ground,2015-07-23,10:00,13:00,female,Australia,England,41-50,66,51.5644464,-1.7709719,NA,NA,NA,NA,NA
County Ground,2015-07-23,10:00,10:00,female,England,Australia,1-10,45,51.5644464,-1.7709719,NA,NA,NA,NA,NA
County Ground,2015-07-23,10:00,10:45,female,England,Australia,11-20,47,51.5644464,-1.7709719,NA,NA,NA,NA,NA
County Ground,2015-07-23,10:00,11:30,female,England,Australia,21-30,44,51.5644464,-1.7709719,NA,NA,NA,NA,NA
County Ground,2015-07-23,10:00,12:15,female,England,Australia,31-40,47,51.5644464,-1.7709719,NA,NA,NA,NA,NA
County Ground,2015-07-23,10:00,13:00,female,England,Australia,41-50,13,51.5644464,-1.7709719,NA,NA,NA,NA,NA
"The Village, Malahide",2014-09-10,10:00,10:00,male,Scotland,Ireland,1-10,39,,,NA,NA,NA,NA,NA
"The Village, Malahide",2014-09-10,10:00,10:45,male,Scotland,Ireland,11-20,35,,,NA,NA,NA,NA,NA
"The Village, Malahide",2014-09-10,10:00,11:30,male,Scotland,Ireland,21-30,39,,,NA,NA,NA,NA,NA
"The Village, Malahide",2014-09-10,10:00,12:15,male,Scotland,Ireland,31-40,43,,,NA,NA,NA,NA,NA
"The Village, Malahide",2014-09-10,10:00,13:00,male,Scotland,Ireland,41-50,65,,,NA,NA,NA,NA,NA
"The Village, Malahide",2014-09-10,10:00,10:00,male,Ireland,Scotland,1-10,36,,,NA,NA,NA,NA,NA
"The Village, Malahide",2014-09-10,10:00,10:45,male,Ireland,Scotland,11-20,55,,,NA,NA,NA,NA,NA
"The Village, Malahide",2014-09-10,10:00,11:30,male,Ireland,Scotland,21-30,62,,,NA,NA,NA,NA,NA
"The Village, Malahide",2014-09-10,10:00,12:15,male,Ireland,Scotland,31-40,45,,,NA,NA,NA,NA,NA
"The Village, Malahide",2014-09-10,10:00,13:00,male,Ireland,Scotland,41-50,27,,,NA,NA,NA,NA,NA
"Trent Bridge, Nottingham",2003-06-26,10:00,10:00,male,England,Zimbabwe,1-10,56,,,NA,NA,NA,NA,NA
"Trent Bridge, Nottingham",2003-06-26,10:00,10:45,male,England,Zimbabwe,11-20,39,,,NA,NA,NA,NA,NA
"Trent Bridge, Nottingham",2003-06-26,10:00,11:30,male,England,Zimbabwe,21-30,23,,,NA,NA,NA,NA,NA
"Trent Bridge, Nottingham",2003-06-26,10:00,12:15,male,England,Zimbabwe,31-40,26,,,NA,NA,NA,NA,NA
"Trent Bridge, Nottingham",2003-06-26,10:00,13:00,male,England,Zimbabwe,41-50,47,,,NA,NA,NA,NA,NA
"Trent Bridge, Nottingham",2003-06-26,10:00,10:00,male,Zimbabwe,England,1-10,18,,,NA,NA,NA,NA,NA
"Trent Bridge, Nottingham",2003-06-26,10:00,10:45,male,Zimbabwe,England,11-20,35,,,NA,NA,NA,NA,NA
"Trent Bridge, Nottingham",2003-06-26,10:00,11:30,male,Zimbabwe,England,21-30,50,,,NA,NA,NA,NA,NA
"Trent Bridge, Nottingham",2003-06-26,10:00,12:15,male,Zimbabwe,England,31-40,40,,,NA,NA,NA,NA,NA
"Trent Bridge, Nottingham",2003-06-26,10:00,13:00,male,Zimbabwe,England,41-50,52,,,NA,NA,NA,NA,NA
"The Royal & Sun Alliance County Ground, Bristol",2003-07-06,10:00,10:00,male,Zimbabwe,England,1-10,34,,,NA,NA,NA,NA,NA
"The Royal & Sun Alliance County Ground, Bristol",2003-07-06,10:00,10:45,male,Zimbabwe,England,11-20,36,,,NA,NA,NA,NA,NA
"The Royal & Sun Alliance County Ground, Bristol",2003-07-06,10:00,11:30,male,Zimbabwe,England,21-30,22,,,NA,NA,NA,NA,NA
"The Royal & Sun Alliance County Ground, Bristol",2003-07-06,10:00,10:00,male,England,Zimbabwe,1-10,35,,,NA,NA,NA,NA,NA
"The Royal & Sun Alliance County Ground, Bristol",2003-07-06,10:00,10:45,male,England,Zimbabwe,11-20,60,,,NA,NA,NA,NA,NA
"National Stadium, Karachi",2023-01-13,10:00,10:00,male,Pakistan,New Zealand,1-10,37,24.8952212,67.0816725,NA,NA,NA,NA,NA
"National Stadium, Karachi",2023-01-13,10:00,10:45,male,Pakistan,New Zealand,11-20,46,24.8952212,67.0816725,NA,NA,NA,NA,NA
"National Stadium, Karachi",2023-01-13,10:00,11:30,male,Pakistan,New Zealand,21-30,70,24.8952212,67.0816725,NA,NA,NA,NA,NA
"National Stadium, Karachi",2023-01-13,10:00,12:15,male,Pakistan,New Zealand,31-40,53,24.8952212,67.0816725,NA,NA,NA,NA,NA
"National Stadium, Karachi",2023-01-13,10:00,13:00,male,Pakistan,New Zealand,41-50,74,24.8952212,67.0816725,NA,NA,NA,NA,NA
"National Stadium, Karachi",2023-01-13,10:00,10:00,male,New Zealand,Pakistan,1-10,44,24.8952212,67.0816725,NA,NA,NA,NA,NA
"National Stadium, Karachi",2023-01-13,10:00,10:45,male,New Zealand,Pakistan,11-20,60,24.8952212,67.0816725,NA,NA,NA,NA,NA
"National Stadium, Karachi",2023-01-13,10:00,11:30,male,New Zealand,Pakistan,21-30,51,24.8952212,67.0816725,NA,NA,NA,NA,NA
"National Stadium, Karachi",2023-01-13,10:00,12:15,male,New Zealand,Pakistan,31-40,66,24.8952212,67.0816725,NA,NA,NA,NA,NA
"National Stadium, Karachi",2023-01-13,10:00,13:00,male,New Zealand,Pakistan,41-50,60,24.8952212,67.0816725,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2012-02-08,13:00,13:00,male,Sri Lanka,India,1-10,46,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2012-02-08,13:00,13:45,male,Sri Lanka,India,11-20,37,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2012-02-08,13:00,14:30,male,Sri Lanka,India,21-30,33,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2012-02-08,13:00,15:15,male,Sri Lanka,India,31-40,56,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2012-02-08,13:00,16:00,male,Sri Lanka,India,41-50,61,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2012-02-08,13:00,13:00,male,India,Sri Lanka,1-10,47,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2012-02-08,13:00,13:45,male,India,Sri Lanka,11-20,45,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2012-02-08,13:00,14:30,male,India,Sri Lanka,21-30,51,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2012-02-08,13:00,15:15,male,India,Sri Lanka,31-40,53,,,NA,NA,NA,NA,NA
Western Australia Cricket Association Ground,2012-02-08,13:00,16:00,male,India,Sri Lanka,41-50,38,,,NA,NA,NA,NA,NA
Shere Bangla National Stadium,2016-10-07,10:00,10:00,male,England,Bangladesh,1-10,53,,,NA,NA,NA,NA,NA
Shere Bangla National Stadium,2016-10-07,10:00,10:45,male,England,Bangladesh,11-20,47,,,NA,NA,NA,NA,NA
Shere Bangla National Stadium,2016-10-07,10:00,11:30,male,England,Bangladesh,21-30,70,,,NA,NA,NA,NA,NA
Shere Bangla National Stadium,2016-10-07,10:00,12:15,male,England,Bangladesh,31-40,50,,,NA,NA,NA,NA,NA
Shere Bangla National Stadium,2016-10-07,10:00,13:00,male,England,Bangladesh,41-50,89,,,NA,NA,NA,NA,NA
Shere Bangla National Stadium,2016-10-07,10:00,10:00,male,Bangladesh,England,1-10,50,,,NA,NA,NA,NA,NA
Shere Bangla National Stadium,2016-10-07,10:00,10:45,male,Bangladesh,England,11-20,64,,,NA,NA,NA,NA,NA
Shere Bangla National Stadium,2016-10-07,10:00,11:30,male,Bangladesh,England,21-30,60,,,NA,NA,NA,NA,NA
Shere Bangla National Stadium,2016-10-07,10:00,12:15,male,Bangladesh,England,31-40,82,,,NA,NA,NA,NA,NA
Shere Bangla National Stadium,2016-10-07,10:00,13:00,male,Bangladesh,England,41-50,32,,,NA,NA,NA,NA,NA
Colombo Cricket Club Ground,2017-02-15,10:00,10:00,female,Ireland,Bangladesh,1-10,17,,,NA,NA,NA,NA,NA
Colombo Cricket Club Ground,2017-02-15,10:00,10:45,female,Ireland,Bangladesh,11-20,51,,,NA,NA,NA,NA,NA
Colombo Cricket Club Ground,2017-02-15,10:00,11:30,female,Ireland,Bangladesh,21-30,35,,,NA,NA,NA,NA,NA
Colombo Cricket Club Ground,2017-02-15,10:00,12:15,female,Ireland,Bangladesh,31-40,25,,,NA,NA,NA,NA,NA
Colombo Cricket Club Ground,2017-02-15,10:00,13:00,female,Ireland,Bangladesh,41-50,16,,,NA,NA,NA,NA,NA
Colombo Cricket Club Ground,2017-02-15,10:00,10:00,female,Bangladesh,Ireland,1-10,24,,,NA,NA,NA,NA,NA
Colombo Cricket Club Ground,2017-02-15,10:00,10:45,female,Bangladesh,Ireland,11-20,36,,,NA,NA,NA,NA,NA
Colombo Cricket Club Ground,2017-02-15,10:00,11:30,female,Bangladesh,Ireland,21-30,47,,,NA,NA,NA,NA,NA
Colombo Cricket Club Ground,2017-02-15,10:00,12:15,female,Bangladesh,Ireland,31-40,38,,,NA,NA,NA,NA,NA
"Wanderers Cricket Ground, Windhoek",2023-04-01,10:00,10:00,male,Canada,United Arab Emirates,1-10,38,,,NA,NA,NA,NA,NA
"Wanderers Cricket Ground, Windhoek",2023-04-01,10:00,10:45,male,Canada,United Arab Emirates,11-20,47,,,NA,NA,NA,NA,NA
"Wanderers Cricket Ground, Windhoek",2023-04-01,10:00,11:30,male,Canada,United Arab Emirates,21-30,67,,,NA,NA,NA,NA,NA
"Wanderers Cricket Ground, Windhoek",2023-04-01,10:00,12:15,male,Canada,United Arab Emirates,31-40,62,,,NA,NA,NA,NA,NA
"Wanderers Cricket Ground, Windhoek",2023-04-01,10:00,13:00,male,Canada,United Arab Emirates,41-50,40,,,NA,NA,NA,NA,NA
"Wanderers Cricket Ground, Windhoek",2023-04-01,10:00,10:00,male,United Arab Emirates,Canada,1-10,42,,,NA,NA,NA,NA,NA
"Wanderers Cricket Ground, Windhoek",2023-04-01,10:00,10:45,male,United Arab Emirates,Canada,11-20,44,,,NA,NA,NA,NA,NA
"Wanderers Cricket Ground, Windhoek",2023-04-01,10:00,11:30,male,United Arab Emirates,Canada,21-30,56,,,NA,NA,NA,NA,NA
"Wanderers Cricket Ground, Windhoek",2023-04-01,10:00,12:15,male,United Arab Emirates,Canada,31-40,41,,,NA,NA,NA,NA,NA
"Wanderers Cricket Ground, Windhoek",2023-04-01,10:00,13:00,male,United Arab Emirates,Canada,41-50,72,,,NA,NA,NA,NA,NA
"County Ground, Bristol",2023-09-26,10:00,10:00,male,England,Ireland,1-10,107,,,NA,NA,NA,NA,NA
"County Ground, Bristol",2023-09-26,10:00,10:45,male,England,Ireland,11-20,69,,,NA,NA,NA,NA,NA
"County Ground, Bristol",2023-09-26,10:00,11:30,male,England,Ireland,21-30,96,,,NA,NA,NA,NA,NA
"County Ground, Bristol",2023-09-26,10:00,12:15,male,England,Ireland,31-40,8,,,NA,NA,NA,NA,NA
"Sabina Park, Kingston",2007-03-17,10:00,10:00,male,Pakistan,Ireland,1-10,43,17.9779974,-76.7825867,NA,NA,NA,NA,NA
"Sabina Park, Kingston",2007-03-17,10:00,10:45,male,Pakistan,Ireland,11-20,25,17.9779974,-76.7825867,NA,NA,NA,NA,NA
"Sabina Park, Kingston",2007-03-17,10:00,11:30,male,Pakistan,Ireland,21-30,34,17.9779974,-76.7825867,NA,NA,NA,NA,NA
"Sabina Park, Kingston",2007-03-17,10:00,12:15,male,Pakistan,Ireland,31-40,23,17.9779974,-76.7825867,NA,NA,NA,NA,NA
"Sabina Park, Kingston",2007-03-17,10:00,13:00,male,Pakistan,Ireland,41-50,7,17.9779974,-76.7825867,NA,NA,NA,NA,NA
"Sabina Park, Kingston",2007-03-17,10:00,10:00,male,Ireland,Pakistan,1-10,32,17.9779974,-76.7825867,NA,NA,NA,NA,NA
"Sabina Park, Kingston",2007-03-17,10:00,10:45,male,Ireland,Pakistan,11-20,25,17.9779974,-76.7825867,NA,NA,NA,NA,NA
"Sabina Park, Kingston",2007-03-17,10:00,11:30,male,Ireland,Pakistan,21-30,29,17.9779974,-76.7825867,NA,NA,NA,NA,NA
"Sabina Park, Kingston",2007-03-17,10:00,12:15,male,Ireland,Pakistan,31-40,39,17.9779974,-76.7825867,NA,NA,NA,NA,NA
"Sabina Park, Kingston",2007-03-17,10:00,13:00,male,Ireland,Pakistan,41-50,8,17.9779974,-76.7825867,NA,NA,NA,NA,NA
"Saurashtra Cricket Association Stadium, Rajkot",2025-01-10,10:00,10:00,female,Ireland,India,1-10,38,,,NA,NA,NA,NA,NA
"Saurashtra Cricket Association Stadium, Rajkot",2025-01-10,10:00,10:45,female,Ireland,India,11-20,42,,,NA,NA,NA,NA,NA
"Saurashtra Cricket Association Stadium, Rajkot",2025-01-10,10:00,11:30,female,Ireland,India,21-30,53,,,NA,NA,NA,NA,NA
"Saurashtra Cricket Association Stadium, Rajkot",2025-01-10,10:00,12:15,female,Ireland,India,31-40,50,,,NA,NA,NA,NA,NA
"Saurashtra Cricket Association Stadium, Rajkot",2025-01-10,10:00,13:00,female,Ireland,India,41-50,55,,,NA,NA,NA,NA,NA
"Saurashtra Cricket Association Stadium, Rajkot",2025-01-10,10:00,10:00,female,India,Ireland,1-10,70,,,NA,NA,NA,NA,NA
"Saurashtra Cricket Association Stadium, Rajkot",2025-01-10,10:00,10:45,female,India,Ireland,11-20,46,,,NA,NA,NA,NA,NA
"Saurashtra Cricket Association Stadium, Rajkot",2025-01-10,10:00,11:30,female,India,Ireland,21-30,77,,,NA,NA,NA,NA,NA
"Saurashtra Cricket Association Stadium, Rajkot",2025-01-10,10:00,12:15,female,India,Ireland,31-40,48,,,NA,NA,NA,NA,NA
St George's Park,2007-11-30,10:00,10:00,male,South Africa,New Zealand,1-10,26,,,NA,NA,NA,NA,NA
St George's Park,2007-11-30,10:00,10:45,male,South Africa,New Zealand,11-20,30,,,NA,NA,NA,NA,NA
St George's Park,2007-11-30,10:00,11:30,male,South Africa,New Zealand,21-30,28,,,NA,NA,NA,NA,NA
St George's Park,2007-11-30,10:00,12:15,male,South Africa,New Zealand,31-40,54,,,NA,NA,NA,NA,NA
St George's Park,2007-11-30,10:00,13:00,male,South Africa,New Zealand,41-50,71,,,NA,NA,NA,NA,NA
St George's Park,2007-11-30,10:00,10:00,male,New Zealand,South Africa,1-10,48,,,NA,NA,NA,NA,NA
St George's Park,2007-11-30,10:00,10:45,male,New Zealand,South Africa,11-20,52,,,NA,NA,NA,NA,NA
St George's Park,2007-11-30,10:00,11:30,male,New Zealand,South Africa,21-30,61,,,NA,NA,NA,NA,NA
St George's Park,2007-11-30,10:00,12:15,male,New Zealand,South Africa,31-40,49,,,NA,NA,NA,NA,NA
Harare Sports Club,2019-04-12,10:00,10:00,male,United Arab Emirates,Zimbabwe,1-10,21,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2019-04-12,10:00,10:45,male,United Arab Emirates,Zimbabwe,11-20,56,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2019-04-12,10:00,11:30,male,United Arab Emirates,Zimbabwe,21-30,58,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2019-04-12,10:00,12:15,male,United Arab Emirates,Zimbabwe,31-40,34,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2019-04-12,10:00,10:00,male,Zimbabwe,United Arab Emirates,1-10,45,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2019-04-12,10:00,10:45,male,Zimbabwe,United Arab Emirates,11-20,49,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2019-04-12,10:00,11:30,male,Zimbabwe,United Arab Emirates,21-30,71,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Harare Sports Club,2019-04-12,10:00,12:15,male,Zimbabwe,United Arab Emirates,31-40,20,-17.8136915,31.0504604,NA,NA,NA,NA,NA
Rangiri Dambulla International Stadium,2010-08-22,10:00,10:00,male,India,Sri Lanka,1-10,38,,,NA,NA,NA,NA,NA
Rangiri Dambulla International Stadium,2010-08-22,10:00,10:45,male,India,Sri Lanka,11-20,33,,,NA,NA,NA,NA,NA
Rangiri Dambulla International Stadium,2010-08-22,10:00,11:30,male,India,Sri Lanka,21-30,28,,,NA,NA,NA,NA,NA
Rangiri Dambulla International Stadium,2010-08-22,10:00,12:15,male,India,Sri Lanka,31-40,4,,,NA,NA,NA,NA,NA
Rangiri Dambulla International Stadium,2010-08-22,10:00,10:00,male,Sri Lanka,India,1-10,79,,,NA,NA,NA,NA,NA
Rangiri Dambulla International Stadium,2010-08-22,10:00,10:45,male,Sri Lanka,India,11-20,25,,,NA,NA,NA,NA,NA
Providence Stadium,2017-04-07,10:00,10:00,male,Pakistan,West Indies,1-10,59,,,NA,NA,NA,NA,NA
Providence Stadium,2017-04-07,10:00,10:45,male,Pakistan,West Indies,11-20,49,,,NA,NA,NA,NA,NA
Providence Stadium,2017-04-07,10:00,11:30,male,Pakistan,West Indies,21-30,47,,,NA,NA,NA,NA,NA
Providence Stadium,2017-04-07,10:00,12:15,male,Pakistan,West Indies,31-40,61,,,NA,NA,NA,NA,NA
Providence Stadium,2017-04-07,10:00,13:00,male,Pakistan,West Indies,41-50,92,,,NA,NA,NA,NA,NA
Providence Stadium,2017-04-07,10:00,10:00,male,West Indies,Pakistan,1-10,49,,,NA,NA,NA,NA,NA
Providence Stadium,2017-04-07,10:00,10:45,male,West Indies,Pakistan,11-20,32,,,NA,NA,NA,NA,NA
Providence Stadium,2017-04-07,10:00,11:30,male,West Indies,Pakistan,21-30,63,,,NA,NA,NA,NA,NA
Providence Stadium,2017-04-07,10:00,12:15,male,West Indies,Pakistan,31-40,72,,,NA,NA,NA,NA,NA
Providence Stadium,2017-04-07,10:00,13:00,male,West Indies,Pakistan,41-50,93,,,NA,NA,NA,NA,NA
Lord's,2010-07-03,10:00,10:00,male,Australia,England,1-10,31,51.5289277,-0.1715767,NA,NA,NA,NA,NA
Lord's,2010-07-03,10:00,10:45,male,Australia,England,11-20,43,51.5289277,-0.1715767,NA,NA,NA,NA,NA
Lord's,2010-07-03,10:00,11:30,male,Australia,England,21-30,33,51.5289277,-0.1715767,NA,NA,NA,NA,NA
Lord's,2010-07-03,10:00,12:15,male,Australia,England,31-40,55,51.5289277,-0.1715767,NA,NA,NA,NA,NA
Lord's,2010-07-03,10:00,13:00,male,Australia,England,41-50,115,51.5289277,-0.1715767,NA,NA,NA,NA,NA
Lord's,2010-07-03,10:00,10:00,male,England,Australia,1-10,50,51.5289277,-0.1715767,NA,NA,NA,NA,NA
Lord's,2010-07-03,10:00,10:45,male,England,Australia,11-20,31,51.5289277,-0.1715767,NA,NA,NA,NA,NA
Lord's,2010-07-03,10:00,11:30,male,England,Australia,21-30,47,51.5289277,-0.1715767,NA,NA,NA,NA,NA
