venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs
Adelaide Oval,2015-03-20,10:00,13:00,male,Pakistan,Australia,41-50,31
Adelaide Oval,2015-03-20,10:00,10:00,male,Australia,Pakistan,1-10,56
Adelaide Oval,2015-03-20,10:00,10:45,male,Australia,Pakistan,11-20,50
Adelaide Oval,2015-03-20,10:00,11:30,male,Australia,Pakistan,21-30,63
Adelaide Oval,2015-03-20,10:00,12:15,male,Australia,Pakistan,31-40,47
Melbourne Cricket Ground,2007-02-04,10:00,10:00,male,New Zealand,Australia,1-10,42
Melbourne Cricket Ground,2007-02-04,10:00,10:45,male,New Zealand,Australia,11-20,60
Melbourne Cricket Ground,2007-02-04,10:00,11:30,male,New Zealand,Australia,21-30,52
Melbourne Cricket Ground,2007-02-04,10:00,12:15,male,New Zealand,Australia,31-40,50
Melbourne Cricket Ground,2007-02-04,10:00,13:00,male,New Zealand,Australia,41-50,86
Melbourne Cricket Ground,2007-02-04,10:00,10:00,male,Australia,New Zealand,1-10,53
Melbourne Cricket Ground,2007-02-04,10:00,10:45,male,Australia,New Zealand,11-20,45
Melbourne Cricket Ground,2007-02-04,10:00,11:30,male,Australia,New Zealand,21-30,42
Melbourne Cricket Ground,2007-02-04,10:00,12:15,male,Australia,New Zealand,31-40,71
Melbourne Cricket Ground,2007-02-04,10:00,13:00,male,Australia,New Zealand,41-50,80
Dubai International Cricket Stadium,2022-04-15,10:00,10:00,male,Oman,Scotland,1-10,33
Dubai International Cricket Stadium,2022-04-15,10:00,10:45,male,Oman,Scotland,11-20,36
Dubai International Cricket Stadium,2022-04-15,10:00,11:30,male,Oman,Scotland,21-30,44
Dubai International Cricket Stadium,2022-04-15,10:00,12:15,male,Oman,Scotland,31-40,42
Dubai International Cricket Stadium,2022-04-15,10:00,13:00,male,Oman,Scotland,41-50,70
Dubai International Cricket Stadium,2022-04-15,10:00,10:00,male,Scotland,Oman,1-10,27
Dubai International Cricket Stadium,2022-04-15,10:00,10:45,male,Scotland,Oman,11-20,58
Dubai International Cricket Stadium,2022-04-15,10:00,11:30,male,Scotland,Oman,21-30,32
Dubai International Cricket Stadium,2022-04-15,10:00,12:15,male,Scotland,Oman,31-40,46
Dubai International Cricket Stadium,2022-04-15,10:00,13:00,male,Scotland,Oman,41-50,63
Boland Park,2016-10-19,10:00,10:00,female,New Zealand,South Africa,1-10,14
Boland Park,2016-10-19,10:00,10:45,female,New Zealand,South Africa,11-20,44
Boland Park,2016-10-19,10:00,11:30,female,New Zealand,South Africa,21-30,53
Boland Park,2016-10-19,10:00,12:15,female,New Zealand,South Africa,31-40,35
Boland Park,2016-10-19,10:00,13:00,female,New Zealand,South Africa,41-50,62
Boland Park,2016-10-19,10:00,10:00,female,South Africa,New Zealand,1-10,28
Boland Park,2016-10-19,10:00,10:45,female,South Africa,New Zealand,11-20,36
Boland Park,2016-10-19,10:00,11:30,female,South Africa,New Zealand,21-30,34
Boland Park,2016-10-19,10:00,12:15,female,South Africa,New Zealand,31-40,15
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:00,male,South Africa,Sri Lanka,1-10,50
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:45,male,South Africa,Sri Lanka,11-20,50
"R Premadasa Stadium, Colombo",2021-09-04,10:00,11:30,male,South Africa,Sri Lanka,21-30,47
"R Premadasa Stadium, Colombo",2021-09-04,10:00,12:15,male,South Africa,Sri Lanka,31-40,62
"R Premadasa Stadium, Colombo",2021-09-04,10:00,13:00,male,South Africa,Sri Lanka,41-50,74
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:00,male,Sri Lanka,South Africa,1-10,43
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:45,male,Sri Lanka,South Africa,11-20,44
"R Premadasa Stadium, Colombo",2021-09-04,10:00,11:30,male,Sri Lanka,South Africa,21-30,66
"R Premadasa Stadium, Colombo",2021-09-04,10:00,12:15,male,Sri Lanka,South Africa,31-40,44
Reliance Stadium,2005-11-12,10:00,10:00,male,Sri Lanka,India,1-10,31
Reliance Stadium,2005-11-12,10:00,10:45,male,Sri Lanka,India,11-20,37
Reliance Stadium,2005-11-12,10:00,11:30,male,Sri Lanka,India,21-30,35
Reliance Stadium,2005-11-12,10:00,12:15,male,Sri Lanka,India,31-40,61
Reliance Stadium,2005-11-12,10:00,13:00,male,Sri Lanka,India,41-50,80
