venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,AQI
Boland Park,2016-10-19,10:00,11:30,female,South Africa,New Zealand,21-30,34,-33.7406522,18.9974819,27.2,36.0,3.4,4.0
Boland Park,2016-10-19,10:00,12:15,female,South Africa,New Zealand,31-40,15,-33.7406522,18.9974819,27.2,36.0,3.4,4.0
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:00,male,South Africa,Sri Lanka,1-10,50,6.9399983,79.8722901,27.5,82.0,19.2,20.0
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:45,male,South Africa,Sri Lanka,11-20,50,6.9399983,79.8722901,27.5,82.0,19.2,20.0
"R Premadasa Stadium, Colombo",2021-09-04,10:00,11:30,male,South Africa,Sri Lanka,21-30,47,6.9399983,79.8722901,27.5,82.0,19.2,20.0
"R Premadasa Stadium, Colombo",2021-09-04,10:00,12:15,male,South Africa,Sri Lanka,31-40,62,6.9399983,79.8722901,27.5,82.0,19.2,20.0
"R Premadasa Stadium, Colombo",2021-09-04,10:00,13:00,male,South Africa,Sri Lanka,41-50,74,6.9399983,79.8722901,27.5,82.0,19.2,20.0
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:00,male,Sri Lanka,South Africa,1-10,43,6.9399983,79.8722901,27.5,82.0,19.2,20.0
"R Premadasa Stadium, Colombo",2021-09-04,10:00,10:45,male,Sri Lanka,South Africa,11-20,44,6.9399983,79.8722901,27.5,82.0,19.2,20.0
"R Premadasa Stadium, Colombo",2021-09-04,10:00,11:30,male,Sri Lanka,South Africa,21-30,66,6.9399983,79.8722901,27.5,82.0,19.2,20.0
"R Premadasa Stadium, Colombo",2021-09-04,10:00,12:15,male,Sri Lanka,South Africa,31-40,44,6.9399983,79.8722901,27.5,82.0,19.2,20.0
Reliance Stadium,2005-11-12,10:00,10:00,male,Sri Lanka,India,1-10,31,17.4891696,78.3236847,26.6,38.0,9.2,209.0
Reliance Stadium,2005-11-12,10:00,10:45,male,Sri Lanka,India,11-20,37,17.4891696,78.3236847,26.6,38.0,9.2,209.0
Reliance Stadium,2005-11-12,10:00,11:30,male,Sri Lanka,India,21-30,35,17.4891696,78.3236847,26.6,38.0,9.2,209.0
Reliance Stadium,2005-11-12,10:00,12:15,male,Sri Lanka,India,31-40,61,17.4891696,78.3236847,26.6,38.0,9.2,209.0
Reliance Stadium,2005-11-12,10:00,13:00,male,Sri Lanka,India,41-50,80,17.4891696,78.3236847,26.6,38.0,9.2,209.0
Reliance Stadium,2005-11-12,10:00,10:00,male,India,Sri Lanka,1-10,82,17.4891696,78.3236847,26.6,38.0,9.2,209.0
Reliance Stadium,2005-11-12,10:00,10:45,male,India,Sri Lanka,11-20,50,17.4891696,78.3236847,26.6,38.0,9.2,209.0
Reliance Stadium,2005-11-12,10:00,11:30,male,India,Sri Lanka,21-30,61,17.4891696,78.3236847,26.6,38.0,9.2,209.0
Reliance Stadium,2005-11-12,10:00,12:15,male,India,Sri Lanka,31-40,52,17.4891696,78.3236847,26.6,38.0,9.2,209.0
"Warner Park, Basseterre",2016-06-11,10:00,10:00,male,Australia,South Africa,1-10,48,17.2984395,-62.7220774,26.3,83.0,18.6,19.0
"Warner Park, Basseterre",2016-06-11,10:00,10:45,male,Australia,South Africa,11-20,50,17.2984395,-62.7220774,26.3,83.0,18.6,19.0
"Warner Park, Basseterre",2016-06-11,10:00,11:30,male,Australia,South Africa,21-30,55,17.2984395,-62.7220774,26.3,83.0,18.6,19.0
"Warner Park, Basseterre",2016-06-11,10:00,12:15,male,Australia,South Africa,31-40,45,17.2984395,-62.7220774,26.3,83.0,18.6,19.0
"Warner Park, Basseterre",2016-06-11,10:00,13:00,male,Australia,South Africa,41-50,90,17.2984395,-62.7220774,26.3,83.0,18.6,19.0
"Warner Park, Basseterre",2016-06-11,10:00,10:00,male,South Africa,Australia,1-10,50,17.2984395,-62.7220774,26.3,83.0,18.6,19.0
"Warner Park, Basseterre",2016-06-11,10:00,10:45,male,South Africa,Australia,11-20,64,17.2984395,-62.7220774,26.3,83.0,18.6,19.0
"Warner Park, Basseterre",2016-06-11,10:00,11:30,male,South Africa,Australia,21-30,60,17.2984395,-62.7220774,26.3,83.0,18.6,19.0
